Directory Index,Cumulative Processing Time (seconds)
150,1989.1840250492096
151,2010.826742887497
152,2032.1722700595856
153,2053.3164319992065
154,2074.271806240082
155,2095.467518091202
156,2116.67480802536
157,2137.9962978363037
158,2159.1420810222626
159,2180.3732299804688
160,2201.520442008972
161,2222.4371519088745
162,2243.627244949341
163,2264.9438388347626
164,2286.1279520988464
165,2307.3647060394287
166,2328.45481300354
167,2349.713600873947
168,2370.933109998703
169,2392.0066640377045
170,2413.0849680900574
171,2434.189330101013
172,2455.3163800239563
173,2476.4261898994446
174,2497.6525449752808
175,2518.92342710495
176,2539.906105995178
177,2560.941622018814
178,2582.271452188492
179,2603.473370075226
180,2624.679668188095
181,2645.767207145691
182,2666.931879043579
183,2687.9988961219788
184,2709.3223609924316
185,2730.0771000385284
186,2751.1405470371246
187,2772.2229809761047
188,2793.294893026352
189,2814.4206199645996
190,2835.483209848404
191,2856.587686061859
192,2877.6009480953217
193,2898.8480520248413
194,2919.967497110367
195,2941.1262991428375
196,2962.080909013748
197,2982.727245092392
198,3003.4159038066864
199,3024.453894138336
200,3046.8527579307556
201,3069.0274980068207
202,3090.1575689315796
203,3111.4258511066437
204,3132.5307619571686
205,3153.7485840320587
206,3175.22074508667
207,3196.4508068561554
208,3217.6439909934998
209,3238.8950090408325
210,3259.7822539806366
211,3280.78781414032
212,3301.6324257850647
213,3322.996255874634
214,3344.1905879974365
215,3365.023369073868
216,3386.1833319664
217,3407.122169971466
218,3428.235548019409
219,3449.295702934265
220,3470.258793115616
221,3490.9892621040344
222,3512.0571739673615
223,3533.195249080658
224,3554.096906900406
225,3575.1676099300385
226,3596.17436504364
227,3616.8620829582214
228,3637.92090511322
229,3658.953878879547
230,3679.756938934326
231,3700.8048980236053
232,3722.1970698833466
233,3743.350237131119
234,3764.1128680706024
235,3785.0879380702972
236,3806.163964033127
237,3827.080040216446
238,3848.143359184265
239,3869.042617082596
240,3889.767739057541
241,3910.744663000107
242,3931.5176429748535
243,3952.46240901947
244,3973.2166481018066
245,3994.1591629981995
246,4015.1906740665436
247,4036.0374410152435
248,4057.0451459884644
249,4078.090866088867
250,4098.6995351314545
251,4119.762129068375
252,4140.646269083023
253,4161.232347011566
254,4182.2351360321045
255,4203.289766073227
256,4224.071063041687
257,4245.072699069977
258,4265.93119096756
259,4287.100713253021
260,4307.777364253998
261,4328.40744304657
262,4349.273214101791
263,4370.183101177216
264,4391.069597005844
265,4412.066465854645
266,4432.819229125977
267,4453.702126026154
268,4474.6300411224365
269,4495.338984012604
270,4516.30383515358
271,4537.264304161072
272,4558.1117811203
273,4579.0246341228485
274,4600.1861090660095
275,4621.178568124771
276,4641.927356004715
277,4662.717412948608
278,4683.768210172653
279,4704.506651163101
280,4725.322578191757
281,4746.078075170517
282,4766.890175104141
283,4787.794397115707
284,4808.677708864212
285,4829.534085988998
286,4850.346418142319
287,4871.186633825302
288,4892.028963088989
289,4913.093015909195
290,4933.660835981369
291,4954.589971065521
292,4975.568579912186
293,4996.5955629348755
294,5017.519511938095
295,5038.42526102066
296,5059.399528026581
297,5080.176232099533
298,5100.864732027054
299,5121.732367992401
300,5142.605741977692
301,5163.438857078552
302,5184.420027971268
303,5205.293993234634
304,5226.050845146179
305,5247.00816822052
306,5267.959378004074
307,5289.04221701622
308,5310.399209022522
309,5331.329706907272
310,5352.248288869858
311,5373.13933300972
312,5393.931930065155
313,5414.84277009964
314,5435.812966108322
315,5456.609375
316,5477.558289051056
317,5498.543656110764
318,5519.482605934143
319,5540.266100883484
320,5561.53966999054
321,5582.426445007324
322,5603.32030415535
323,5624.310973167419
324,5645.36686706543
325,5666.375677108765
326,5687.225969076157
327,5708.192840099335
328,5729.251433849335
329,5750.033578872681
330,5771.068089962006
331,5792.09278512001
332,5813.2182970047
333,5833.997164964676
334,5854.677097082138
335,5875.73476600647
336,5896.744299888611
337,5917.426154851913
338,5938.317242145538
339,5959.092370033264
340,5980.200297832489
341,6001.690266132355
342,6022.4335560798645
343,6043.327133178711
344,6064.389261960983
345,6085.4369378089905
346,6106.373872041702
347,6127.54047703743
348,6148.462605953217
349,6169.51611995697
350,6190.330934047699
351,6211.234912872314
352,6232.029029130936
353,6252.810042142868
354,6273.689789056778
355,6295.0232129096985
356,6315.872407913208
357,6337.100679159164
358,6358.116478204727
359,6379.016570091248
360,6399.980977058411
361,6420.917748212814
362,6441.987547159195
363,6462.99537396431
364,6484.328162908554
365,6505.821565151215
366,6527.131581068039
367,6548.107870817184
368,6569.221508979797
369,6590.325119972229
370,6611.487627983093
371,6632.324317216873
372,6653.517550945282
373,6674.73076915741
374,6695.831786870956
375,6717.08571100235
376,6738.443474054337
377,6759.899305820465
378,6781.189754962921
379,6802.38516497612
380,6823.34245300293
381,6844.685859918594
382,6865.9154460430145
383,6886.945594072342
384,6908.147171020508
385,6929.190874099731
386,6950.520178079605
387,6971.764580011368
388,6993.14230799675
389,7014.379794120789
390,7035.619366168976
391,7056.85257601738
392,7077.661030054092
393,7098.83939909935
394,7120.097316026688
395,7141.35933303833
396,7162.383460998535
397,7183.529760837555
398,7204.912357091904
399,7226.1807560920715
400,7247.179454088211
401,7268.372229099274
402,7289.705430030823
403,7310.762889146805
404,7331.8417229652405
405,7352.85439991951
406,7374.005069971085
407,7395.14546918869
408,7416.230057954788
409,7437.558242082596
410,7458.530836105347
411,7479.725066900253
412,7500.854004144669
413,7522.110278129578
414,7543.287220239639
415,7564.47611784935
416,7585.550593852997
417,7606.539625883102
418,7627.748387098312
419,7649.142258167267
420,7670.186022043228
421,7691.187530994415
422,7712.244560956955
423,7733.389105081558
424,7753.934185028076
425,7774.807301044464
426,7795.767822980881
427,7816.886080980301
428,7838.145709037781
429,7859.366478919983
430,7880.44277381897
431,7901.926800966263
432,7923.31921505928
433,7944.842715024948
434,7966.132941007614
435,7987.7016270160675
436,8009.269129037857
437,8030.539998054504
438,8052.181283950806
439,8073.655478000641
440,8095.315425872803
441,8116.366209030151
442,8137.567997217178
443,8159.026877164841
444,8179.920286893845
445,8201.483979940414
446,8222.583269119263
447,8243.701375961304
448,8264.854593038559
449,8286.234902858734
450,8307.61206293106
451,8328.999848127365
452,8351.411957025528
453,8372.32439994812
454,8393.452735900879
455,8414.58011007309
456,8435.760020256042
457,8457.170310020447
458,8478.201544046402
459,8499.557848930359
460,8520.907983064651
461,8541.924669027328
462,8563.017353057861
463,8584.096650838852
464,8605.15589594841
465,8626.59588599205
466,8647.80077791214
467,8668.547589063644
468,8689.55109000206
469,8710.820895910263
470,8731.965193986893
471,8753.003195047379
472,8774.26751089096
473,8795.468457221985
474,8816.52276301384
475,8837.940304040909
476,8859.072236061096
477,8880.160713911057
478,8901.300069093704
479,8922.574715137482
480,8943.636085987091
481,8964.418246030807
482,8985.432139873505
483,9006.352254152298
484,9027.159796953201
485,9047.96270108223
486,9068.659219026566
487,9090.04962015152
488,9111.011273860931
489,9131.713809013367
490,9152.561794042587
491,9173.414313077927
492,9194.731328964233
493,9215.613322019577
494,9236.946650028229
495,9258.287187099457
496,9279.485172986984
497,9301.000756978989
498,9322.464417934418
499,9343.559174060822
500,9364.867127895355
501,9386.234127998352
502,9407.781327962875
503,9429.078362941742
504,9450.466089248657
505,9471.919466972351
506,9493.43459391594
507,9514.958932876587
508,9536.298213005066
509,9557.565113067627
510,9578.845556974411
511,9600.00295305252
512,9621.233095169067
513,9642.50166797638
514,9663.884356975555
515,9685.252009153366
516,9706.490450143814
517,9727.684233903885
518,9748.99942111969
519,9770.162848949432
520,9791.291179895401
521,9812.618763923645
522,9834.051167964935
523,9855.643721818924
524,9876.863687038422
525,9898.360632896423
526,9919.429454088211
527,9940.697381973267
528,9961.649843215942
529,9983.065402030945
530,10004.343715906143
531,10025.285701036453
532,10046.506762981415
533,10067.667397022247
534,10088.797841072083
535,10109.638871908188
536,10130.829882144928
537,10151.805356025696
538,10172.877604961395
539,10194.091966152191
540,10215.401906013489
541,10236.444459915161
542,10257.521224021912
543,10278.4520008564
544,10299.34215593338
545,10319.932493925095
546,10340.804521799088
547,10361.839348077774
548,10382.665320158005
549,10403.435557126999
550,10424.334504127502
551,10445.351058006287
552,10466.362134933472
553,10487.243537187576
554,10508.021565198898
555,10528.918543100357
556,10549.686452150345
557,10570.799764156342
558,10591.66046500206
559,10612.536536931992
560,10633.516844034195
561,10654.196999073029
562,10675.203598976135
563,10696.091171979904
564,10717.02870798111
565,10737.956937074661
566,10758.84502696991
567,10779.859902143478
568,10800.63830113411
569,10821.453339099884
570,10842.450996160507
571,10863.140560150146
572,10883.991044998169
573,10904.779923200607
574,10925.662548065186
575,10946.496376991272
576,10967.344744205475
577,10988.364062786102
578,11009.377665996552
579,11030.332387924194
580,11051.21830701828
581,11071.945097208023
582,11092.853254079819
583,11113.614994049072
584,11134.312668085098
585,11155.360850095749
586,11176.321146965027
587,11197.316625118256
588,11218.16617488861
589,11238.805772066116
590,11259.79491019249
591,11280.748441934586
592,11301.272798776627
593,11321.845318078995
594,11342.581449985504
595,11363.297649145126
596,11384.114166975021
597,11404.96933221817
598,11425.653409957886
599,11446.506291151047
600,11467.584635019302
601,11488.350442886353
602,11509.376729011536
603,11530.320152044296
604,11551.193507909775
605,11571.95230293274
606,11592.763615846634
607,11613.517355918884
608,11633.995838165283
609,11654.719866991043
610,11675.330938100815
611,11696.134523153305
612,11717.276208162308
613,11738.337908029556
614,11759.370153188705
615,11780.192579984665
616,11801.23989701271
617,11822.236325979233
618,11843.181662082672
619,11864.082759141922
620,11884.790852069855
621,11905.62908411026
622,11926.488399982452
623,11947.445880889893
624,11968.552143096924
625,11989.429070949554
626,12010.107902050018
627,12030.986002206802
628,12051.980715990067
629,12073.000826120377
630,12093.975450992584
631,12114.791662931442
632,12135.60797715187
633,12156.624926805496
634,12177.624556064606
635,12198.514511108398
636,12219.511634111404
637,12240.423847198486
638,12261.326053142548
639,12282.257906198502
640,12303.118772029877
641,12323.843272209167
642,12344.6992020607
643,12365.652698040009
644,12386.516185998917
645,12407.549220085144
646,12428.353829145432
647,12449.442255020142
648,12470.219363927841
649,12491.138312101364
650,12512.17136001587
651,12533.010388851166
652,12553.71263718605
653,12574.459195137024
654,12595.525202035904
655,12616.505702972412
656,12637.589467048645
657,12658.613878965378
658,12679.727060079575
659,12701.013226985931
660,12721.872230052948
661,12742.611133098602
662,12763.368118047714
663,12784.49597620964
664,12805.496893167496
665,12826.554536104202
666,12847.461421966553
667,12868.23307800293
668,12889.140590906143
669,12910.160255908966
670,12931.063538074493
671,12951.898631095886
672,12972.755005121231
673,12993.767585039139
674,13014.80639410019
675,13035.461325883865
676,13056.426831007004
677,13077.570742845535
678,13098.616291046143
679,13119.510138988495
680,13140.631734848022
681,13161.602087020874
682,13182.558598041534
683,13203.601340055466
684,13224.78087592125
685,13245.657099962234
686,13266.763360023499
687,13287.718446969986
688,13308.717464923859
689,13329.819468021393
690,13350.862159013748
691,13371.650084972382
692,13392.605564117432
693,13413.610903978348
694,13434.65456199646
695,13455.442769050598
696,13476.436718940735
697,13497.18277001381
698,13518.30896615982
699,13539.234128952026
700,13560.175817966461
701,13581.066096067429
702,13602.048727989197
703,13623.219771146774
704,13644.288182020187
705,13665.040552139282
706,13685.914884090424
707,13706.84793305397
708,13727.845166921616
709,13748.655233860016
710,13769.70270204544
711,13790.677030086517
712,13811.697018146515
713,13832.596424102783
714,13853.706910848618
715,13874.821301937103
716,13895.350636959076
717,13916.620415210724
718,13937.712432146072
719,13958.737741947174
720,13979.825217962265
721,14000.713184833527
722,14021.83253121376
723,14042.68598484993
724,14063.550071001053
725,14084.593271017075
726,14105.62864613533
727,14126.679849147797
728,14147.573300123215
729,14168.396075963974
730,14189.475537061691
731,14210.569077014923
732,14231.830457925797
733,14252.485649108887
734,14273.630419015884
735,14294.51962685585
736,14315.671274900436
737,14336.891303062439
